name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
washington DC,2013-01-01,7,3.1,5.4,6.6,0.3,3.4,-2.5,57,0,0,0,,0,0,,21.9,323.8,1015.4,97,16,38.9,3.3,2,,2013-01-01T07:26:53,2013-01-01T16:57:02,0.65,Overcast,Cloudy skies throughout the day.,cloudy,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-01-02,4.1,-0.2,2.2,2.1,-4.2,-1.4,-7.6,49,0,0,0,,0,0,31.3,23.9,353.2,1020,92.3,16,118.9,10.2,5,,2013-01-02T07:26:59,2013-01-02T16:57:52,0.68,Overcast,Cloudy skies throughout the day.,cloudy,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-01-03,3.1,-1.3,0.5,-0.5,-5.3,-2.7,-8.7,50.6,0,0,0,,0,0,,16.2,170.1,1023.4,64.5,16,68.6,5.8,3,,2013-01-03T07:27:04,2013-01-03T16:58:43,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-01-04,7,-2.1,2.9,4.3,-4.9,0.2,-7.3,49.1,0,0,0,,0,0,37.1,25.8,269.2,1022.2,25.8,16,125,10.9,5,,2013-01-04T07:27:06,2013-01-04T16:59:36,0.75,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-01-05,7.8,0.7,3.9,7.8,-2.9,1.7,-6.3,47.9,0,0,0,,0,0,38.9,19.9,283.8,1025.7,47.9,16,123.8,10.7,5,,2013-01-05T07:27:06,2013-01-05T17:00:30,0.79,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-01-06,11,1.6,6.6,11,-0.1,5.4,-2.1,56.6,0.282,100,4.17,rain,0,0,31.3,20.1,227.5,1020.1,79.9,16,118.2,10.1,5,,2013-01-06T07:27:04,2013-01-06T17:01:25,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-01-07,8.8,1.6,6.4,6.9,0.5,4.2,-3.9,48.6,0,0,0,,0,0,35.3,22.2,325.5,1028.1,58,16,122,10.5,5,,2013-01-07T07:26:59,2013-01-07T17:02:22,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-01-08,11.1,-1,5,11.1,-4.2,3.1,-1,66.9,0,0,0,,0,0,,22.2,198,1029.7,54.2,15.6,116.9,10.1,5,,2013-01-08T07:26:53,2013-01-08T17:03:20,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-01-09,9.2,1.7,5.6,9.2,-1.1,4.6,2.1,78.4,0.282,100,4.17,rain,0,0,,12.9,215.2,1027.5,66.3,15.4,84.1,7.2,4,,2013-01-09T07:26:45,2013-01-09T17:04:18,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-01-10,13.1,6.7,9.8,13.1,4,8.9,-2.8,41.8,0,0,0,,0,0,37.1,21.7,341.2,1033.3,78.6,16,129.1,11.2,5,,2013-01-10T07:26:34,2013-01-10T17:05:18,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,KADW,KDAA"
