name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
washington DC,2013-01-01T00:00:00,3.9,1.5,-4,56.65,0,0,,0,0,,9.2,194,1016.4,94.6,16,0,,0,,Overcast,cloudy,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-01-01T01:00:00,3.1,0.3,-2.2,68,0,0,,0,0,,10.7,204,1016.1,94.1,16,0,,0,,Overcast,cloudy,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-01-01T02:00:00,4.1,1.4,-3.2,58.96,0,0,,0,0,,10.8,185,1015.9,84.2,16,0,,0,,Partially cloudy,partly-cloudy-night,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-01-01T03:00:00,4,2.9,-3.2,59.3,0,0,,0,0,,5.2,208,1015.8,97.8,16,0,,0,,Overcast,cloudy,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-01-01T04:00:00,3.8,1.1,-3,60.86,0,0,,0,0,,10.7,205,1015.7,97.8,16,0,,0,,Overcast,cloudy,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-01-01T05:00:00,4.1,4.1,-3.9,56.03,0,0,,0,0,,0.1,358,1015.4,99.5,16,0,,0,,Overcast,cloudy,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-01-01T06:00:00,4,4,-2.9,60.63,0,0,,0,0,,0,0,1015.5,96.6,16,0,,0,,Overcast,cloudy,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-01-01T07:00:00,3.9,3.9,-1.9,66.26,0,0,,0,0,,0.2,349,1015.8,96.8,16,4.9,0,0,,Overcast,cloudy,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-01-01T08:00:00,3.8,2,-0.9,71.19,0,0,,0,0,,7.1,160,1015.6,99.5,16,47.7,0.2,0,,Overcast,cloudy,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-01-01T09:00:00,4.9,4.9,-2.1,60.83,0,0,,0,0,,0,0,1015.3,94.1,16,106.3,0.4,1,,Overcast,cloudy,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-01-01T10:00:00,6.6,6.6,-3.8,47.34,0,0,,0,0,,0,0,1015.8,99.3,16,143.3,0.5,1,,Overcast,cloudy,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-01-01T11:00:00,6.7,5.4,-3.1,49.34,0,0,,0,0,,7.1,351,1015.8,98.6,16,180.4,0.6,2,,Overcast,cloudy,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-01-01T12:00:00,6.8,4.6,-3,49.94,0,0,,0,0,,10.7,299,1015.3,96.8,16,165.9,0.6,2,,Overcast,cloudy,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-01-01T13:00:00,7,4.9,-2.1,52.31,0,0,,0,0,,10.8,310,1014,96.8,16,128.1,0.5,1,,Overcast,cloudy,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-01-01T14:00:00,7,4.9,-2.1,52.39,0,0,,0,0,,10.8,338,1013.2,94.6,16,93.3,0.3,1,,Overcast,cloudy,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-01-01T15:00:00,7,4.6,-2.1,52.39,0,0,,0,0,,12.7,329,1013.9,97,16,53.6,0.2,1,,Overcast,cloudy,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-01-01T16:00:00,7,5.2,-2.1,52.46,0,0,,0,0,,9.2,340,1013.9,96.8,16,10.7,0,0,,Overcast,cloudy,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-01-01T17:00:00,6.8,5.4,-2.1,53.33,0,0,,0,0,,7.4,340,1014.8,97.8,16,0,,0,,Overcast,cloudy,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-01-01T18:00:00,6.9,4.5,-2.1,52.82,0,0,,0,0,,12.4,320,1014.9,96.1,16,0,,0,,Overcast,cloudy,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-01-01T19:00:00,6,2.3,-2.1,56.35,0,0,,0,0,,19.7,351,1015.3,100,16,0,,0,,Overcast,cloudy,"KDCA,72405013743,KADW,KDAA"
