,datetime,yr,mnth,hr,holiday,weekday,workingday,season,temp,feelslike,humidity,precip,snowdepth,windspeed,cloudcover,uvindex,icon,sunlight_hours,mtillsunrise,mtillsunset,cnt
0,2011-01-01 00:00:00,0,1,0,0,6,0,1,3.1,3.1,79.61,0.0,0.0,0.7,0.0,0.0,clear-night,9.49638888888889,446,0,16.0
1,2011-01-01 01:00:00,0,1,1,0,6,0,1,1.8,1.8,82.44,0.0,0.0,0.7,0.0,0.0,clear-night,9.49638888888889,386,0,40.0
2,2011-01-01 02:00:00,0,1,2,0,6,0,1,2.0,2.0,81.31,0.0,0.0,0.9,0.0,0.0,clear-night,9.49638888888889,326,0,32.0
3,2011-01-01 03:00:00,0,1,3,0,6,0,1,2.7,2.7,77.58,0.0,0.0,0.7,24.4,0.0,partly-cloudy-night,9.49638888888889,266,0,13.0
4,2011-01-01 04:00:00,0,1,4,0,6,0,1,2.1,2.1,80.41,0.0,0.0,0.9,20.8,0.0,partly-cloudy-night,9.49638888888889,206,0,1.0
5,2011-01-01 05:00:00,0,1,5,0,6,0,1,2.8,1.4,76.23,0.0,0.0,5.6,89.1,0.0,partly-cloudy-night,9.49638888888889,146,0,1.0
6,2011-01-01 06:00:00,0,1,6,0,6,0,1,2.1,2.1,80.85,0.0,0.0,0.8,79.3,0.0,partly-cloudy-night,9.49638888888889,86,0,2.0
7,2011-01-01 07:00:00,0,1,7,0,6,0,1,1.2,1.2,86.08,0.0,0.0,0.8,44.6,0.0,partly-cloudy-night,9.49638888888889,26,0,3.0
8,2011-01-01 08:00:00,0,1,8,0,6,0,1,3.0,3.0,77.74,0.0,0.0,1.2,80.3,0.0,partly-cloudy-day,9.49638888888889,0,536,8.0
9,2011-01-01 09:00:00,0,1,9,0,6,0,1,7.0,7.0,78.1,0.0,0.0,1.7,44.6,1.0,partly-cloudy-day,9.49638888888889,0,476,14.0
10,2011-01-01 10:00:00,0,1,10,0,6,0,1,10.1,10.1,75.47,0.0,0.0,16.9,86.1,2.0,partly-cloudy-day,9.49638888888889,0,416,36.0
11,2011-01-01 11:00:00,0,1,11,0,6,0,1,9.4,6.8,79.58,0.0,0.0,18.4,84.7,4.0,partly-cloudy-day,9.49638888888889,0,356,56.0
