datetime,yr,mnth,hr,holiday,weekday,workingday,season,temp,feelslike,humidity,precip,snowdepth,windspeed,cloudcover,uvindex,icon,sunlight_hours,mtillsunrise,mtillsunset,cnt
2011-01-01 00:00:00,0,1,0,0,6,0,1,3.1,3.1,79.61,0.0,0.0,0.7,0.0,0.0,clear-night,9.49638888888889,446,0,16.0
2011-01-01 01:00:00,0,1,1,0,6,0,1,1.8,1.8,82.44,0.0,0.0,0.7,0.0,0.0,clear-night,9.49638888888889,386,0,40.0
2011-01-01 02:00:00,0,1,2,0,6,0,1,2.0,2.0,81.31,0.0,0.0,0.9,0.0,0.0,clear-night,9.49638888888889,326,0,32.0
2011-01-01 03:00:00,0,1,3,0,6,0,1,2.7,2.7,77.58,0.0,0.0,0.7,24.4,0.0,partly-cloudy-night,9.49638888888889,266,0,13.0
2011-01-01 04:00:00,0,1,4,0,6,0,1,2.1,2.1,80.41,0.0,0.0,0.9,20.8,0.0,partly-cloudy-night,9.49638888888889,206,0,1.0
2011-01-01 05:00:00,0,1,5,0,6,0,1,2.8,1.4,76.23,0.0,0.0,5.6,89.1,0.0,partly-cloudy-night,9.49638888888889,146,0,1.0
2011-01-01 06:00:00,0,1,6,0,6,0,1,2.1,2.1,80.85,0.0,0.0,0.8,79.3,0.0,partly-cloudy-night,9.49638888888889,86,0,2.0
2011-01-01 07:00:00,0,1,7,0,6,0,1,1.2,1.2,86.08,0.0,0.0,0.8,44.6,0.0,partly-cloudy-night,9.49638888888889,26,0,3.0
2011-01-01 08:00:00,0,1,8,0,6,0,1,3.0,3.0,77.74,0.0,0.0,1.2,80.3,0.0,partly-cloudy-day,9.49638888888889,0,536,8.0
2011-01-01 09:00:00,0,1,9,0,6,0,1,7.0,7.0,78.1,0.0,0.0,1.7,44.6,1.0,partly-cloudy-day,9.49638888888889,0,476,14.0
2011-01-01 10:00:00,0,1,10,0,6,0,1,10.1,10.1,75.47,0.0,0.0,16.9,86.1,2.0,partly-cloudy-day,9.49638888888889,0,416,36.0
2011-01-01 11:00:00,0,1,11,0,6,0,1,9.4,6.8,79.58,0.0,0.0,18.4,84.7,4.0,partly-cloudy-day,9.49638888888889,0,356,56.0
2011-01-01 12:00:00,0,1,12,0,6,0,1,12.0,12.0,77.4,0.0,0.0,18.7,89.3,3.0,partly-cloudy-day,9.49638888888889,0,296,84.0
2011-01-01 13:00:00,0,1,13,0,6,0,1,13.2,13.2,76.98,0.0,0.0,20.3,88.3,2.0,partly-cloudy-day,9.49638888888889,0,236,94.0
2011-01-01 14:00:00,0,1,14,0,6,0,1,14.1,14.1,72.4,0.0,0.0,18.5,91.1,1.0,cloudy,9.49638888888889,0,176,106.0
2011-01-01 15:00:00,0,1,15,0,6,0,1,13.0,13.0,76.96,0.0,0.0,20.6,93.8,1.0,cloudy,9.49638888888889,0,116,110.0
2011-01-01 16:00:00,0,1,16,0,6,0,1,12.0,12.0,82.22,0.0,0.0,20.2,94.3,0.0,cloudy,9.49638888888889,0,56,93.0
2011-01-01 17:00:00,0,1,17,0,6,0,1,13.0,13.0,82.57,0.0,0.0,17.8,98.8,0.0,cloudy,9.49638888888889,865,0,67.0
2011-01-01 18:00:00,0,1,18,0,6,0,1,11.3,11.3,87.79,0.0,0.0,17.6,100.0,0.0,cloudy,9.49638888888889,805,0,35.0
2011-01-01 19:00:00,0,1,19,0,6,0,1,11.9,11.9,89.31,0.147,0.0,15.7,98.8,0.0,rain,9.49638888888889,745,0,37.0
2011-01-01 20:00:00,0,1,20,0,6,0,1,12.1,12.1,92.41,0.0,0.0,16.3,94.3,0.0,cloudy,9.49638888888889,685,0,36.0
2011-01-01 21:00:00,0,1,21,0,6,0,1,11.2,11.2,93.22,0.0,0.0,18.1,99.2,0.0,cloudy,9.49638888888889,625,0,34.0
2011-01-01 22:00:00,0,1,22,0,6,0,1,11.3,11.3,93.56,0.0,0.0,15.0,99.2,0.0,cloudy,9.49638888888889,565,0,28.0
2011-01-01 23:00:00,0,1,23,0,6,0,1,12.3,12.3,93.82,0.0,0.0,13.8,100.0,0.0,cloudy,9.49638888888889,505,0,39.0
2011-01-02 00:00:00,0,1,0,0,0,0,1,14.2,14.2,87.93,0.0,0.0,20.1,100.0,0.0,cloudy,9.508055555555556,446,0,17.0
2011-01-02 01:00:00,0,1,1,0,0,0,1,13.2,13.2,92.26,0.0,0.0,16.5,100.0,0.0,cloudy,9.508055555555556,386,0,17.0
2011-01-02 02:00:00,0,1,2,0,0,0,1,12.3,12.3,98.36,0.0,0.0,18.2,100.0,0.0,cloudy,9.508055555555556,326,0,9.0
2011-01-02 03:00:00,0,1,3,0,0,0,1,13.9,13.9,94.08,0.0,0.0,14.9,100.0,0.0,cloudy,9.508055555555556,266,0,6.0
2011-01-02 04:00:00,0,1,4,0,0,0,1,14.1,14.1,94.1,0.0,0.0,15.8,100.0,0.0,cloudy,9.508055555555556,206,0,3.0
2011-01-02 05:00:00,0,1,5,0,0,0,1,12.1,12.1,79.87,0.0,0.0,28.7,100.0,0.0,cloudy,9.508055555555556,146,0,34.82608695652174
2011-01-02 06:00:00,0,1,6,0,0,0,1,11.0,11.0,77.24,0.018,0.0,13.4,100.0,0.0,rain,9.508055555555556,86,0,2.0
2011-01-02 07:00:00,0,1,7,0,0,0,1,11.0,11.0,70.95,0.0,0.0,16.1,100.0,0.0,cloudy,9.508055555555556,26,0,1.0
2011-01-02 08:00:00,0,1,8,0,0,0,1,10.7,10.7,71.89,0.0,0.0,14.2,100.0,1.0,cloudy,9.508055555555556,0,537,8.0
2011-01-02 09:00:00,0,1,9,0,0,0,1,9.9,7.7,75.89,0.036,0.0,15.8,100.0,1.0,rain,9.508055555555556,0,477,20.0
2011-01-02 10:00:00,0,1,10,0,0,0,1,9.2,6.9,80.17,0.147,0.0,14.9,100.0,1.0,rain,9.508055555555556,0,417,53.0
2011-01-02 11:00:00,0,1,11,0,0,0,1,9.2,6.8,71.78,0.0,0.0,16.0,100.0,2.0,cloudy,9.508055555555556,0,357,70.0
2011-01-02 12:00:00,0,1,12,0,0,0,1,8.9,6.0,68.23,0.0,0.0,19.8,100.0,2.0,cloudy,9.508055555555556,0,297,93.0
2011-01-02 13:00:00,0,1,13,0,0,0,1,9.0,7.7,66.17,0.022,0.0,8.9,100.0,2.0,rain,9.508055555555556,0,237,75.0
2011-01-02 14:00:00,0,1,14,0,0,0,1,8.8,6.8,77.36,0.291,0.0,12.3,100.0,2.0,rain,9.508055555555556,0,177,59.0
2011-01-02 15:00:00,0,1,15,0,0,0,1,8.0,6.1,81.39,0.288,0.0,10.9,100.0,1.0,rain,9.508055555555556,0,117,74.0
2011-01-02 16:00:00,0,1,16,0,0,0,1,7.8,6.0,73.34,0.277,0.0,10.1,89.7,0.0,rain,9.508055555555556,0,57,76.0
2011-01-02 17:00:00,0,1,17,0,0,0,1,7.9,5.8,59.23,0.033,0.0,12.2,89.7,0.0,rain,9.508055555555556,865,0,65.0
2011-01-02 18:00:00,0,1,18,0,0,0,1,8.7,5.5,47.43,0.0,0.0,22.6,100.0,0.0,cloudy,9.508055555555556,805,0,53.0
2011-01-02 19:00:00,0,1,19,0,0,0,1,6.7,2.4,43.26,0.0,0.0,29.4,87.5,0.0,partly-cloudy-night,9.508055555555556,745,0,30.0
2011-01-02 20:00:00,0,1,20,0,0,0,1,5.6,1.4,40.68,0.0,0.0,24.1,24.4,0.0,partly-cloudy-night,9.508055555555556,685,0,22.0
2011-01-02 21:00:00,0,1,21,0,0,0,1,4.0,-0.4,44.39,0.0,0.0,22.1,0.0,0.0,clear-night,9.508055555555556,625,0,31.0
