name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
washington DC,2011-01-01,14.1,1.2,8.1,14.1,1.2,7.9,5.2,82.3,0.147,100,4.17,rain,0,0,38.9,20.6,187.2,1018.7,70.9,14.4,55.6,4.7,4,,2011-01-01T07:26:50,2011-01-01T16:56:37,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington DC,2011-01-02,14.2,2,9.2,14.2,-1.5,7.4,3.7,70.3,1.112,100,33.33,rain,0,0,42.5,29.4,324,1016.2,83,15.1,45.3,4,2,,2011-01-02T07:26:57,2011-01-02T16:57:26,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington DC,2011-01-03,4,-2.1,0.6,0.7,-8.4,-3.7,-10.5,44.2,0,0,0,,0,0,40.7,27.2,308.6,1024.1,10.2,16,124.6,10.8,5,,2011-01-03T07:27:03,2011-01-03T16:58:17,0.98,Clear,Clear conditions throughout the day.,clear-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington DC,2011-01-04,5.8,-3.4,0.7,2.6,-6.7,-2.3,-6.4,59.9,0,0,0,,0,0,,21.7,199.9,1016.3,51.7,16,113.8,9.9,5,,2011-01-04T07:27:06,2011-01-04T16:59:09,0,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington DC,2011-01-05,5.9,-0.9,2.4,4.7,-4.4,-0.8,-9.1,43.6,0,0,0,,0,0,37.1,24.7,338.7,1013.6,48.2,16,107.3,9.2,5,,2011-01-05T07:27:07,2011-01-05T17:00:02,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington DC,2011-01-06,4.9,-2.3,0.8,2.4,-5.2,-1,-7.9,53.5,0,0,0,,0,0,,17.8,185.3,1006.1,63.4,16,118.8,10.2,5,,2011-01-06T07:27:06,2011-01-06T17:00:57,0.08,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington DC,2011-01-07,1.7,-1.1,0.6,0.9,-4.2,-2.6,-8.6,51,0,0,0,,0,0,35.3,22.6,295.3,998,89.5,16,96.6,8.3,4,,2011-01-07T07:27:03,2011-01-07T17:01:53,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington DC,2011-01-08,0.9,-4.1,-0.9,-0.2,-11.7,-5.5,-9.7,53.8,0.479,100,8.33,"rain,snow",0,0,52.1,36.6,293.5,1000.1,75.4,14.9,74.5,6.5,3,,2011-01-08T07:26:58,2011-01-08T17:02:50,0.14,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington DC,2011-01-09,1.7,-5.1,-2.3,-3.8,-12.2,-8.6,-13,43.9,0,0,0,,0,0,56.5,35,301.2,1019.3,15.2,16,121.9,10.5,5,,2011-01-09T07:26:50,2011-01-09T17:03:48,0.17,Clear,Clear conditions throughout the day.,clear-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington DC,2011-01-10,1,-4.1,-1.7,-1.7,-9.6,-6.3,-11.1,49.1,0,0,0,,0,0,31.3,20.3,320.3,1027.2,58.7,16,69.4,6,3,,2011-01-10T07:26:41,2011-01-10T17:04:48,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
